"id","date","trial_time","value","x","y","word_one","word_two","trial_number","chunk_number","prolific_id","study_id","session_id"
"10198","2025-04-30T18:51:02.383Z","5153","2","298","165","Not Like Fire","Like Fire","75","27","6609619feb79146b62811775","6810e3157d4c55bd8e56b312","68126e7a08909b410abffbbd"
"10199","2025-04-30T18:51:02.490Z","5463","28","135","18","Not Like Fire","Like Fire","30","29","67b65d55cd0f92a3aa53cd60","6810e3157d4c55bd8e56b312","68126f061e04aec1789736ae"
"10200","2025-04-30T18:51:04.259Z","6097","15","121","70","Not Like Fire","Like Fire","34","12","67dee94182771a1778a7f005","6810e3157d4c55bd8e56b312","68126ea6b775fedd7fc92923"
"10201","2025-04-30T18:51:04.840Z","4207","88","75","28","Not Like Fire","Like Fire","77","51","6732eac7f92b3be7edca9b89","6810e3157d4c55bd8e56b312","68126dbb82b9dbca7080c09d"
"10202","2025-04-30T18:51:05.702Z","58679","1","103","214","Not Like Fire","Like Fire","41","19","677da6635a4389f3f9a184ac","6810e3157d4c55bd8e56b312","68126e4913efcd3c19af1ac0"
"10203","2025-04-30T18:51:07.121Z","2862","73","121","70","Not Like Fire","Like Fire","35","84","67dee94182771a1778a7f005","6810e3157d4c55bd8e56b312","68126ea6b775fedd7fc92923"
"10204","2025-04-30T18:51:06.858Z","14043","11","43","13","Not Like Fire","Like Fire","48","36","67e9e9d3e19ff65eaf797d2d","6810e3157d4c55bd8e56b312","68126e5cee2a0a7fb1c9c9c4"
"10205","2025-04-30T18:50:50.732Z","18332","12","136","80","Not Like Fire","Like Fire","13","46","5f5bd4eee8768816413c0cb5","6810e3157d4c55bd8e56b312","68126f7d2719a08060d6faa1"
"10206","2025-04-30T18:51:09.076Z","6693","1","298","165","Not Like Fire","Like Fire","76","1","6609619feb79146b62811775","6810e3157d4c55bd8e56b312","68126e7a08909b410abffbbd"
"10207","2025-04-30T18:51:08.648Z","3808","89","75","28","Not Like Fire","Like Fire","78","61","6732eac7f92b3be7edca9b89","6810e3157d4c55bd8e56b312","68126dbb82b9dbca7080c09d"
"10208","2025-04-30T18:51:09.549Z","3847","1","103","214","Not Like Fire","Like Fire","42","81","677da6635a4389f3f9a184ac","6810e3157d4c55bd8e56b312","68126e4913efcd3c19af1ac0"
"10209","2025-04-30T18:51:09.944Z","2823","82","121","70","Not Like Fire","Like Fire","36","89","67dee94182771a1778a7f005","6810e3157d4c55bd8e56b312","68126ea6b775fedd7fc92923"
"10210","2025-04-30T18:51:12.481Z","3833","22","75","28","Not Like Fire","Like Fire","79","83","6732eac7f92b3be7edca9b89","6810e3157d4c55bd8e56b312","68126dbb82b9dbca7080c09d"
"10211","2025-04-30T18:51:12.943Z","2999","19","121","70","Not Like Fire","Like Fire","37","7","67dee94182771a1778a7f005","6810e3157d4c55bd8e56b312","68126ea6b775fedd7fc92923"
"10212","2025-04-30T18:51:10.422Z","7932","28","135","18","Not Like Fire","Like Fire","31","6","67b65d55cd0f92a3aa53cd60","6810e3157d4c55bd8e56b312","68126f061e04aec1789736ae"
"10213","2025-04-30T18:51:15.304Z","6228","32","298","165","Not Like Fire","Like Fire","77","81","6609619feb79146b62811775","6810e3157d4c55bd8e56b312","68126e7a08909b410abffbbd"
"10214","2025-04-30T18:51:13.908Z","3486","31","135","18","Not Like Fire","Like Fire","32","0","67b65d55cd0f92a3aa53cd60","6810e3157d4c55bd8e56b312","68126f061e04aec1789736ae"
"10215","2025-04-30T18:51:15.569Z","6020","99","103","214","Not Like Fire","Like Fire","43","50","677da6635a4389f3f9a184ac","6810e3157d4c55bd8e56b312","68126e4913efcd3c19af1ac0"
"10216","2025-04-30T18:51:16.731Z","3788","23","121","70","Not Like Fire","Like Fire","38","69","67dee94182771a1778a7f005","6810e3157d4c55bd8e56b312","68126ea6b775fedd7fc92923"
"10217","2025-04-30T18:51:16.351Z","2443","43","135","18","Not Like Fire","Like Fire","33","69","67b65d55cd0f92a3aa53cd60","6810e3157d4c55bd8e56b312","68126f061e04aec1789736ae"
"10218","2025-04-30T18:51:18.945Z","12087","7","43","13","Not Like Fire","Like Fire","49","0","67e9e9d3e19ff65eaf797d2d","6810e3157d4c55bd8e56b312","68126e5cee2a0a7fb1c9c9c4"
"10219","2025-04-30T18:51:17.705Z","32027","38","83","193","Not Like Fire","Like Fire","15","85","675b6faf10ae4b79d1d6455e","6810e3157d4c55bd8e56b312","68126e59d2fbfd4948155105"
"10220","2025-04-30T18:51:19.635Z","3284","87","135","18","Not Like Fire","Like Fire","34","51","67b65d55cd0f92a3aa53cd60","6810e3157d4c55bd8e56b312","68126f061e04aec1789736ae"
"10221","2025-04-30T18:51:23.022Z","4077","16","43","13","Not Like Fire","Like Fire","50","31","67e9e9d3e19ff65eaf797d2d","6810e3157d4c55bd8e56b312","68126e5cee2a0a7fb1c9c9c4"
"10222","2025-04-30T18:51:23.425Z","6694","18","121","70","Not Like Fire","Like Fire","39","45","67dee94182771a1778a7f005","6810e3157d4c55bd8e56b312","68126ea6b775fedd7fc92923"
"10223","2025-04-30T18:51:21.887Z","2252","35","135","18","Not Like Fire","Like Fire","35","75","67b65d55cd0f92a3aa53cd60","6810e3157d4c55bd8e56b312","68126f061e04aec1789736ae"
"10224","2025-04-30T18:51:24.030Z","11549","38","75","28","Not Like Fire","Like Fire","80","82","6732eac7f92b3be7edca9b89","6810e3157d4c55bd8e56b312","68126dbb82b9dbca7080c09d"
"10225","2025-04-30T18:51:25.775Z","82230","44","198","82","Not Like Fire","Like Fire","15","81","66f59708681eb9dbe19ae052","6810e3157d4c55bd8e56b312","68126f6857b44ef4696c1cde"
"10226","2025-04-30T18:51:25.392Z","7687","35","83","193","Not Like Fire","Like Fire","16","3","675b6faf10ae4b79d1d6455e","6810e3157d4c55bd8e56b312","68126e59d2fbfd4948155105"
"10227","2025-04-30T18:51:25.730Z","10426","60","298","165","Not Like Fire","Like Fire","78","58","6609619feb79146b62811775","6810e3157d4c55bd8e56b312","68126e7a08909b410abffbbd"
"10228","2025-04-30T18:51:26.824Z","11255","97","103","214","Not Like Fire","Like Fire","44","49","677da6635a4389f3f9a184ac","6810e3157d4c55bd8e56b312","68126e4913efcd3c19af1ac0"
"10229","2025-04-30T18:51:28.493Z","5471","68","43","13","Not Like Fire","Like Fire","51","23","67e9e9d3e19ff65eaf797d2d","6810e3157d4c55bd8e56b312","68126e5cee2a0a7fb1c9c9c4"
"10230","2025-04-30T18:51:28.328Z","4298","20","75","28","Not Like Fire","Like Fire","81","5","6732eac7f92b3be7edca9b89","6810e3157d4c55bd8e56b312","68126dbb82b9dbca7080c09d"
"10231","2025-04-30T18:51:28.961Z","5536","25","121","70","Not Like Fire","Like Fire","40","21","67dee94182771a1778a7f005","6810e3157d4c55bd8e56b312","68126ea6b775fedd7fc92923"
"10232","2025-04-30T18:51:30.393Z","4618","30","198","82","Not Like Fire","Like Fire","16","19","66f59708681eb9dbe19ae052","6810e3157d4c55bd8e56b312","68126f6857b44ef4696c1cde"
"10233","2025-04-30T18:51:31.472Z","5742","45","298","165","Not Like Fire","Like Fire","79","87","6609619feb79146b62811775","6810e3157d4c55bd8e56b312","68126e7a08909b410abffbbd"
"10234","2025-04-30T18:51:31.862Z","3534","75","75","28","Not Like Fire","Like Fire","82","23","6732eac7f92b3be7edca9b89","6810e3157d4c55bd8e56b312","68126dbb82b9dbca7080c09d"
"10235","2025-04-30T18:51:32.088Z","3595","71","43","13","Not Like Fire","Like Fire","52","61","67e9e9d3e19ff65eaf797d2d","6810e3157d4c55bd8e56b312","68126e5cee2a0a7fb1c9c9c4"
"10236","2025-04-30T18:51:33.194Z","2801","50","198","82","Not Like Fire","Like Fire","17","84","66f59708681eb9dbe19ae052","6810e3157d4c55bd8e56b312","68126f6857b44ef4696c1cde"
"10237","2025-04-30T18:51:33.782Z","4821","98","121","70","Not Like Fire","Like Fire","41","59","67dee94182771a1778a7f005","6810e3157d4c55bd8e56b312","68126ea6b775fedd7fc92923"
"10238","2025-04-30T18:51:35.046Z","1852","52","198","82","Not Like Fire","Like Fire","18","64","66f59708681eb9dbe19ae052","6810e3157d4c55bd8e56b312","68126f6857b44ef4696c1cde"
"10239","2025-04-30T18:51:35.504Z","3642","48","75","28","Not Like Fire","Like Fire","83","17","6732eac7f92b3be7edca9b89","6810e3157d4c55bd8e56b312","68126dbb82b9dbca7080c09d"
"10240","2025-04-30T18:51:36.558Z","1512","32","198","82","Not Like Fire","Like Fire","19","29","66f59708681eb9dbe19ae052","6810e3157d4c55bd8e56b312","68126f6857b44ef4696c1cde"
"10241","2025-04-30T18:51:18.974Z","28242","11","136","80","Not Like Fire","Like Fire","14","37","5f5bd4eee8768816413c0cb5","6810e3157d4c55bd8e56b312","68126f7d2719a08060d6faa1"
"10242","2025-04-30T18:51:36.167Z","4079","6","43","13","Not Like Fire","Like Fire","53","60","67e9e9d3e19ff65eaf797d2d","6810e3157d4c55bd8e56b312","68126e5cee2a0a7fb1c9c9c4"
"10243","2025-04-30T18:51:37.798Z","1240","43","198","82","Not Like Fire","Like Fire","20","28","66f59708681eb9dbe19ae052","6810e3157d4c55bd8e56b312","68126f6857b44ef4696c1cde"
"10244","2025-04-30T18:51:37.465Z","12073","28","83","193","Not Like Fire","Like Fire","17","71","675b6faf10ae4b79d1d6455e","6810e3157d4c55bd8e56b312","68126e59d2fbfd4948155105"
"10245","2025-04-30T18:51:38.706Z","908","44","198","82","Not Like Fire","Like Fire","21","72","66f59708681eb9dbe19ae052","6810e3157d4c55bd8e56b312","68126f6857b44ef4696c1cde"
"10246","2025-04-30T18:51:39.067Z","7595","81","298","165","Not Like Fire","Like Fire","80","25","6609619feb79146b62811775","6810e3157d4c55bd8e56b312","68126e7a08909b410abffbbd"
"10247","2025-04-30T18:51:38.708Z","124600","48","40","208","Not Like Fire","Like Fire","15","48","67e70536203c9f5fe50b336d","6810e3157d4c55bd8e56b312","68126f9830b574940d8327b2"
"10248","2025-04-30T18:51:39.704Z","998","48","198","82","Not Like Fire","Like Fire","22","49","66f59708681eb9dbe19ae052","6810e3157d4c55bd8e56b312","68126f6857b44ef4696c1cde"
"10249","2025-04-30T18:51:40.261Z","2796","36","83","193","Not Like Fire","Like Fire","18","57","675b6faf10ae4b79d1d6455e","6810e3157d4c55bd8e56b312","68126e59d2fbfd4948155105"
"10250","2025-04-30T18:51:40.772Z","1068","47","198","82","Not Like Fire","Like Fire","23","40","66f59708681eb9dbe19ae052","6810e3157d4c55bd8e56b312","68126f6857b44ef4696c1cde"
